日期,均溫,低溫,最高溫,相對溼度,降雨量,風速,氣壓,雲量
2025/1/1,12.6,9.1,19.8,60,0,16.6,1020.8,5
2025/1/2,13.2,8.3,19.9,63,0,16.4,1021.3,4
2025/1/3,12.4,8.3,19.9,65,0,26.7,1024,4
2025/1/4,13.6,8.3,18.6,64,0,25.2,1023.5,6
2025/1/5,12.8,11,20.6,66,0,9.5,1020.5,6
2025/1/6,12.9,7.9,20.6,73,0,14,1022,4
2025/1/7,11.4,7.7,19.3,58,0,23.2,1023.5,6
2025/1/8,12.2,6.9,18.3,63,0,13.8,1022.8,6
2025/1/9,11.1,8.2,18.3,59,0,26.9,1026.3,8
2025/1/10,8.1,3.7,16,45,0,31.6,1032.2,6
2025/1/11,7.3,5,14.9,48,0,15.6,1031.5,4
2025/1/12,9.9,3.6,17,55,0,9.2,1028,3
2025/1/13,11.9,4.8,18.2,52,0,14.7,1026.6,4
2025/1/14,13.9,6.8,22,61,0,12.5,1023.8,4
2025/1/15,11.6,9,22,68,0,22.2,1027.2,6
2025/1/16,8.8,5.4,17.7,57,0,22.5,1028.4,4
2025/1/17,9.4,4.3,15.5,57,0,18.2,1026.5,3
2025/1/18,11.9,5.7,17.2,58,0,14.2,1021.9,5
2025/1/19,12.5,7.1,20.7,67,0,9.2,1017.7,4
2025/1/20,12.8,6.9,20.8,51,0,13.2,1018,3
2025/1/21,14.4,7.1,20.8,52,0,18.7,1020.2,4
2025/1/22,14.5,8,19.5,71,0,9.3,1019.6,7
2025/1/23,16,11.6,22.7,76,0,10.8,1018.2,5
2025/1/24,15.5,12.6,22.7,73,0,23.5,1017.9,7
2025/1/25,14.6,13,19.3,69,0,30.4,1019.5,8
2025/1/26,11.4,7.7,18.9,72,0.3,18.4,1021.1,8
2025/1/27,9.5,5.4,16,53,0,12.5,1023.6,4
2025/1/28,9.7,5.3,17.1,58,0,12.2,1027.1,5
2025/1/29,10.9,5.6,17.1,64,0,16.1,1027.6,5
2025/1/30,13.9,6.8,19.5,63,0,17.8,1023.6,6
2025/1/31,15.8,9.7,24,73,0,10.9,1017.5,7
2025/2/1,14.2,10.9,24,86,3,16,1014.9,7
2025/2/2,11.3,10,23.5,76,3.8,24,1017.5,8
2025/2/3,8.7,6.3,14.2,81,3.8,26.7,1022.8,8
2025/2/4,8.7,4.6,15.4,61,0,15.1,1025,5
2025/2/5,11.9,4,17,63,0,13,1022.2,5
2025/2/6,9.6,8,17,67,4.8,13.2,1021.6,8
2025/2/7,9.3,8,12.8,78,3.3,20.5,1025.4,8
2025/2/8,5.7,2.6,10.1,58,0,31.5,1029.6,6
2025/2/9,7.5,2.3,13.6,53,0,23.8,1028.4,4
2025/2/10,10.1,3.7,14.6,63,0,16.8,1025.7,7
2025/2/11,13.6,5.4,17.8,72,0,10.5,1021.7,7
2025/2/12,14.3,11,21.7,86,1,11.4,1018.5,8
2025/2/13,9.6,7.3,21.7,74,0,30.2,1024.6,8
2025/2/14,12.4,7.3,15.7,64,0,11.9,1020.8,6
2025/2/15,15,9.3,23.2,78,0,5.6,1015.7,7
2025/2/16,13.7,12,23.2,84,0,14.9,1019.3,7
2025/2/17,12.8,11,20.2,63,0,24.2,1024.1,6
2025/2/18,10.6,9.6,19.2,67,0,27.9,1026.2,8
2025/2/19,10.2,9,12.3,70,0,17.8,1025.9,8
2025/2/20,9.1,8,11.1,92,2.5,16.8,1025.6,8
2025/2/21,9.6,8.8,11,82,1.8,25.4,1027.9,8
2025/2/22,9.5,8,11,77,7.2,21.9,1028,8
2025/2/23,8.9,7.9,10.9,82,0,24.6,1030.8,8
2025/2/24,9.2,6.1,14.5,59,0,31.2,1033.4,7
2025/2/25,12.2,5.9,16.2,65,0,11.4,1028,7
2025/2/26,12,7.4,16.2,72,0,16.6,1025.3,8
2025/2/27,13.1,11,19.7,84,2.8,7.4,1019.7,6
2025/2/28,15.9,11.3,26.2,88,0,6.4,1017.8,5
2025/3/1,18.2,11,28.2,85,0,7.8,1015.2,7
2025/3/2,20.9,16.1,28.2,89,0.3,9.5,1011.8,7
2025/3/3,17.9,13,30.5,82,8.1,13.2,1010.4,7
2025/3/4,12.8,11,14,94,14.7,17.5,1013.4,8
2025/3/5,10.4,10,18.3,87,30,27.8,1018.8,8
2025/3/6,10.5,9,12.7,77,0,28.7,1024.2,8
2025/3/7,9.7,8.7,12.2,70,1.8,23,1024.7,8
2025/3/8,11.5,8.8,17,69,0,14.8,1024,7
2025/3/9,13.6,9.3,20.1,61,0,17.4,1025.3,7
2025/3/10,15.6,13,23.2,62,0,8,1021.9,6
2025/3/11,16.2,12.7,27,86,0,7.5,1017.5,6
2025/3/12,18.8,14.6,29.8,83,0,7.8,1013.9,7
2025/3/13,15.5,14.7,29.8,89,0.5,7.1,1016,8
2025/3/14,14.2,14.2,24.8,92,26.2,4.8,1018.3,8
2025/3/15,13.3,13.6,18.2,98,7.1,5.1,1014.6,8
2025/3/16,12.6,11.4,18.2,78,0,9.5,1020.2,7
2025/3/17,10.2,9.6,16.9,56,0,10,1023.6,6
2025/3/18,13.3,8.5,20.8,47,0,9.2,1024.1,5
2025/3/19,12.7,9.3,20.8,44,0,9,1028.1,4
2025/3/20,13.3,8.9,21.7,49,0,8.6,1027.5,4
2025/3/21,15.9,8.6,24.5,54,0,7.3,1024.6,4
2025/3/22,16.8,9.7,27.2,57,0,9.1,1020.5,3
2025/3/23,18.6,12.5,29.3,65,0,8.9,1016.3,3
2025/3/24,20.7,14.9,31.8,64,0,13.1,1011,4
2025/3/25,21.5,15,32.2,76,0,14.9,1007,4
2025/3/26,23.4,19.3,32.2,70,0,16.1,1004.9,4
2025/3/27,23.1,20,32,75,0,21.5,1004.4,4
2025/3/28,14.7,13,22,73,0,31,1017,8
2025/3/29,9.4,7.2,15.5,76,27.7,30.2,1024,8
2025/3/30,7.4,6.6,10.7,88,21.3,26.1,1026.3,8
2025/3/31,8.3,7,10,88,7.7,15.5,1023.2,8
2025/4/1,11.9,7.2,17.2,72,0,15.6,1020.7,7
2025/4/2,14.2,8.5,21.7,66,0,11.2,1021,4
2025/4/3,16.6,10.3,25.5,56,0,12.7,1020.6,4
2025/4/4,17.9,11.6,25.5,61,1,15.1,1019,7
2025/4/5,16.3,14,24,83,1.3,6.7,1016.2,8
2025/4/6,18.9,13.8,26.8,78,0,9.4,1016.8,6
2025/4/7,20.6,13.8,27.5,64,0,14.7,1018.4,5
2025/4/8,20.7,16.8,28.7,68,0,6.5,1016.5,7
2025/4/9,21.2,18.1,28.7,80,12.4,8.7,1012.1,8
2025/4/10,20.3,18,28.6,86,17.8,7,1009.2,7
2025/4/11,23.2,18.2,28.7,85,0,7.8,1009.5,7
2025/4/12,20.5,14.5,28.7,79,2.8,20.8,1006.5,8
2025/4/13,17.9,13.6,25.8,46,0,13.8,1014.2,6
2025/4/14,21.3,13.1,30.1,58,0,13.5,1009.5,4
2025/4/15,20.5,15.9,30.1,61,0,5.7,1013.6,4
2025/4/16,22.3,15.6,30.1,69,0,3,1012.1,7
2025/4/17,24.3,18.8,30.9,72,0,3.1,1009.2,6
2025/4/18,24.2,21,30.9,81,0,2.8,1009.3,6
2025/4/19,22.9,21,30.6,90,41.1,3.1,1008.4,4
2025/4/20,23.6,21,28.3,84,0.8,2.2,1011.2,6
2025/4/21,23.4,20,28.3,87,0,2.1,1011.7,4
2025/4/22,24.7,21,33.6,85,4.3,12.5,1007.2,5
2025/4/23,19.2,17.9,33.6,89,0.3,16.4,1010.4,5
2025/4/24,17.5,17,22.6,94,21.8,11.7,1011.4,4
2025/4/25,15.9,14.7,18.9,90,23.6,21.9,1016.2,4
2025/4/26,16,14.7,17.7,87,3.3,13.6,1018.7,4
2025/4/27,20.3,14.9,26.1,82,1.5,7.5,1014,6
2025/4/28,21.6,16.9,27.3,82,0,6.7,1012.7,5
2025/4/29,20.7,16.8,27.3,73,0,12.6,1015.5,6
2025/4/30,22.9,16.7,29.2,73,0.5,7.1,1013.6,7
