temp,tmin,tmax,rhum,prcp,wspd,wpgt,pres,cldc
17.6,15.0,20.0,86,7.3,8.5,,1017.3,8
17.4,16.0,20.0,91,7.8,19.9,,1017.2,8
16.9,14.0,20.0,75,0.0,33.3,,1017.3,3
17.6,13.0,25.0,76,0.0,9.8,,1017.5,0
17.1,16.0,19.0,95,0.0,13.0,,1018.7,4
16.8,13.0,21.0,76,0.0,24.8,,1017.8,0
16.2,11.0,23.0,70,0.0,12.7,,1018.6,1
16.9,14.0,22.0,77,0.0,14.8,,1019.1,2
16.1,13.0,20.0,75,0.0,27.9,,1020.8,4
13.0,11.0,16.0,71,0.0,38.0,,1025.0,3
13.6,12.0,17.0,74,0.0,27.0,,1025.7,3
14.0,10.0,19.0,55,0.0,26.0,,1024.4,0
14.6,7.0,23.0,62,0.0,7.3,,1022.4,0
16.5,11.0,23.0,80,1.7,7.1,,1022.2,2
14.3,12.0,16.0,86,2.5,28.6,,1022.7,6
12.5,11.0,16.0,73,0.0,27.3,,1022.8,0
14.1,9.0,20.0,68,0.0,22.8,,1021.1,0
15.3,9.0,21.0,85,1.8,11.8,,1018.3,6
15.8,13.0,19.0,92,1.1,15.7,,1015.5,4
16.1,11.0,22.0,70,0.0,14.0,,1014.4,0
17.5,11.0,24.0,74,0.0,8.5,,1015.9,0
17.9,16.0,23.0,89,0.3,8.8,,1017.3,4
17.5,15.0,22.0,90,1.1,17.7,,1016.3,4
18.3,15.0,23.0,90,0.0,19.8,,1014.3,3
18.4,16.0,23.0,87,0.0,20.9,,1015.0,1
16.2,13.0,20.0,86,0.0,24.6,,1017.0,4
11.7,9.0,15.0,77,0.7,35.1,,1019.4,5
12.6,9.0,18.0,58,0.0,26.6,,1022.5,2
13.7,9.0,21.0,67,0.0,13.1,,1023.1,1
15.5,9.0,23.0,77,0.0,8.6,,1020.1,0
16.0,13.0,18.0,98,6.6,7.6,,1016.7,6
19.8,16.0,26.0,90,12.8,15.1,,1013.2,6
16.5,15.0,20.0,96,0.0,22.3,,1013.5,4
13.6,11.0,16.0,94,0.4,30.9,,1017.5,7
13.3,10.0,18.0,68,0.2,31.7,,1019.7,3
14.9,9.0,22.0,65,0.0,9.6,,1018.4,2
17.1,15.0,22.0,78,0.0,7.8,,1017.7,6
14.8,12.0,19.0,84,0.0,32.4,,1019.4,5
11.1,10.0,13.0,69,0.0,35.5,,1021.9,3
12.3,10.0,16.0,72,0.0,27.3,,1022.2,2
15.2,9.0,22.0,77,0.0,10.6,,1021.0,1
16.7,12.0,23.0,85,0.0,9.7,,1019.1,2
17.4,16.0,20.0,100,34.0,10.2,,1018.2,8
15.7,14.0,18.0,96,26.3,21.9,,1017.8,8
16.8,15.0,21.0,93,0.0,11.4,,1017.0,4
18.2,15.0,27.0,92,0.0,9.2,,1014.7,2
18.6,14.0,25.0,89,0.0,16.1,,1016.3,3
18.4,15.0,25.0,69,0.0,18.1,,1018.7,0
17.1,14.0,21.0,81,0.0,22.2,,1020.5,1
16.9,13.0,23.0,87,0.0,8.9,,1020.7,1
17.0,14.0,20.0,96,0.0,12.5,,1021.2,5
15.8,14.0,19.0,92,0.8,26.3,,1022.1,3
17.4,14.0,23.0,84,0.0,17.9,,1022.2,2
15.5,14.0,17.0,93,8.2,30.1,,1024.5,6
14.5,12.0,18.0,78,0.0,28.3,,1026.2,2
15.6,12.0,22.0,82,0.0,8.6,,1025.1,2
16.7,14.0,21.0,95,0.6,15.2,,1022.8,8
17.8,16.0,22.0,89,0.0,9.3,,1019.6,6
20.6,15.0,26.0,77,0.0,7.8,,1018.0,0
22.5,16.0,30.0,73,0.0,7.9,,1016.1,2
24.0,19.0,31.0,78,0.0,7.3,,1013.8,4
25.5,22.0,31.0,87,0.8,13.4,,1011.7,8
22.1,17.0,28.0,92,32.9,13.5,,1011.8,8
17.7,16.0,20.0,100,32.5,20.3,,1013.6,7
14.6,13.0,17.0,95,7.6,33.5,,1017.9,6
15.2,13.0,19.0,84,1.4,22.9,,1018.7,8
15.7,13.0,21.0,86,0.1,23.2,,1019.8,3
17.4,14.0,23.0,84,0.0,15.8,,1021.0,0
17.8,16.0,23.0,91,0.0,8.3,,1020.5,1
20.3,15.0,28.0,85,0.1,7.5,,1017.6,4
24.8,19.0,31.0,73,0.1,7.4,,1015.1,5
22.2,20.0,25.0,97,12.6,8.8,,1015.0,8
20.9,18.0,27.0,94,0.1,12.5,,1015.4,5
20.1,15.0,26.0,97,,10.7,,,
14.6,13.0,18.0,75,,40.0,,,
13.2,12.0,15.0,68,,23.2,,,
13.1,9.0,16.0,71,,14.2,,,
15.2,8.0,23.0,72,,11.6,,,
16.0,,,67,,12.7,,,
17.0,10.0,24.0,61,,9.4,,,
17.5,10.0,24.0,66,0.0,6.6,,1019.9,0
18.8,13.0,25.0,64,0.0,5.3,,1017.3,0
21.1,15.0,28.0,72,0.0,11.0,,1013.3,0
23.1,18.0,29.0,79,0.0,12.3,,1010.1,0
24.4,19.0,31.0,82,0.0,18.8,,1008.4,1
26.6,23.0,33.0,76,0.0,20.0,,1008.2,3
21.6,17.0,25.0,80,0.0,22.7,,1012.1,3
16.1,15.0,19.0,80,0.0,27.4,,1016.7,4
14.3,13.0,16.0,95,15.9,26.4,,1018.7,8
14.9,13.0,17.0,100,12.3,23.6,,1016.8,8
15.5,14.0,18.0,88,3.7,28.7,,1016.0,4
16.7,14.0,22.0,72,0.0,18.4,,1016.9,4
20.2,14.0,27.0,72,0.3,8.4,,1016.8,2
21.5,16.0,27.0,72,0.0,7.3,,1016.0,1
19.0,18.0,20.0,95,4.5,11.2,,1015.4,8
20.0,17.0,25.0,84,0.1,13.3,,1014.5,6
23.9,20.0,29.0,79,0.3,8.0,,1016.0,3
23.5,20.0,29.0,80,0.0,7.9,,1016.3,7
23.6,20.0,28.0,74,0.0,8.6,,1013.0,6
23.5,21.0,28.0,87,11.5,10.5,,1009.8,6
24.3,19.0,29.0,81,8.3,7.5,,1010.4,4
25.5,20.0,28.0,78,43.7,19.8,,1009.3,7
17.3,16.0,20.0,63,17.8,23.8,,1012.9,8
21.2,16.0,27.0,69,0.0,11.2,,1011.5,2
21.5,15.0,28.0,58,0.0,13.1,,1012.6,3
21.7,14.0,28.0,67,0.0,8.7,,1012.8,2
23.8,18.0,29.0,73,0.0,8.6,,1010.8,5
25.4,23.0,29.0,79,6.6,11.7,,1010.7,7
26.3,23.0,30.0,80,0.8,13.0,,1010.9,2
24.8,23.0,29.0,88,5.1,10.3,,1012.2,2
26.0,22.0,31.0,82,0.0,9.7,,1012.8,2
26.9,23.0,32.0,75,0.0,21.1,,1010.6,2
25.1,21.0,29.0,85,6.0,13.3,,1010.1,3
25.2,22.0,29.0,90,1.0,8.7,,1010.5,3
22.0,19.0,25.0,90,4.3,14.5,,1012.6,3
20.6,18.0,23.0,92,14.0,8.4,,1015.0,2
23.3,19.0,28.0,88,0.0,7.5,,1013.5,2
22.0,20.0,24.0,92,8.5,9.8,,1011.8,3
22.8,17.0,28.0,64,0.0,12.0,,1012.3,2
23.8,19.0,28.0,80,0.0,8.4,,1013.4,2
24.0,21.0,27.0,76,0.0,8.4,,1013.2,2
24.6,20.0,29.0,78,0.0,6.7,,1011.9,2
26.0,23.0,29.0,78,0.0,7.8,,1011.0,2
25.7,22.0,30.0,84,3.4,10.8,,1010.0,2
27.0,24.0,31.0,83,0.8,12.9,,1008.7,2
27.5,24.0,32.0,81,9.8,9.6,,1008.7,2
23.5,22.0,26.0,96,20.1,9.4,,1009.8,3
26.0,23.0,30.0,86,0.4,7.2,,1009.9,2
28.0,25.0,34.0,80,21.7,14.8,,1009.5,2
25.2,23.0,27.0,93,22.0,8.2,,1009.5,3
20.7,19.0,25.0,93,40.3,14.7,,1009.2,3
23.1,19.0,27.0,85,0.4,6.4,,1010.1,2
24.9,21.0,30.0,78,0.0,8.5,,1013.0,2
25.3,20.0,31.0,72,0.0,8.6,,1014.0,2
26.2,21.0,31.0,74,0.0,7.8,,1013.7,2
27.0,23.0,32.0,76,0.0,5.5,,1012.6,2
27.7,24.0,32.0,81,5.2,9.8,,1012.1,2
28.5,25.0,33.0,80,2.5,11.6,,1011.5,2
28.1,24.0,33.0,79,0.2,11.0,,1010.3,2
29.6,26.0,36.0,70,0.0,11.8,,1010.7,2
28.9,26.0,32.0,78,1.1,12.9,,1010.5,3
29.1,25.0,35.0,75,0.0,11.2,,1008.6,2
29.5,26.0,33.0,72,0.2,17.3,,1007.2,2
25.9,22.0,30.0,86,12.3,14.9,,1009.6,3
21.1,20.0,23.0,83,37.9,18.5,,1012.7,2
20.3,19.0,22.0,86,2.1,15.1,,1014.3,3
24.0,18.0,30.0,85,0.0,8.9,,1013.7,2
24.8,22.0,29.0,88,14.0,8.6,,1011.1,3
22.1,21.0,24.0,99,67.3,8.8,,1010.5,4
24.0,20.0,30.0,80,0.0,13.7,,1010.4,2
26.1,21.0,31.0,80,0.0,7.8,,1009.0,2
27.8,23.0,33.0,81,0.5,10.3,,1005.1,2
28.0,26.0,32.0,89,2.0,18.4,,1003.9,3
26.2,23.0,28.0,94,34.1,11.9,,1004.6,3
25.1,23.0,29.0,92,29.2,8.9,,1007.7,3
26.7,24.0,30.0,91,17.8,7.1,,1009.6,3
27.3,25.0,31.0,92,17.1,6.1,,1009.0,3
28.8,26.0,32.0,84,2.7,11.5,,1008.3,2
28.9,26.0,32.0,84,1.9,11.0,,1007.2,2
29.1,26.0,33.0,82,0.1,6.8,,1006.5,2
28.7,24.0,33.0,83,0.0,9.8,,1005.8,2
28.6,26.0,32.0,88,0.1,10.7,,1006.6,2
28.5,26.0,32.0,87,7.3,9.9,,1006.0,2
25.8,25.0,26.0,94,30.1,19.7,,1008.6,3
29.1,26.0,33.0,77,4.6,18.3,,1010.2,2
